class,auc
PHA,0.999378170512191
PA,0.9992668031345225
WA,0.999136802487318
TA,0.9985558828342334
TRA,0.9978767795778105
JHA,0.99762313860252
LA,0.997325738600484
D_SHA,0.9972741022123739
TAA,0.9968908525609557
CHHA,0.9968253968253968
NGA,0.996817214858452
KSHA,0.9965574548907883
T_SHA,0.9958558337424317
DA,0.9956553755522828
THA,0.995589919816724
GHA,0.9955081001472754
M_SHA,0.9950171821305842
DHA,0.9949844542628048
CHA,0.9943339878906889
YA,0.9943209028916776
GA,0.9941386632083508
HA,0.993941253477336
THAA,0.9935853379152348
KA,0.9932105122630354
NA,0.9927316033277814
JA,0.9925544100801833
BHA,0.9921821305841925
RA,0.9907911962035674
MA,0.9901284568810342
YAN,0.9900834560628375
GYA,0.9888357061037474
DHAA,0.9865897561773851
KHA,0.9853133693339878
DAA,0.9847283586974308
BA,0.9824619538537065
NAA,0.976926853215513
