class,average_precision
PHA,0.9877554983218143
WA,0.9786240031145247
PA,0.9722012665815988
THA,0.9679100753858029
TA,0.9623145865970969
D_SHA,0.9473295751697135
TRA,0.9388485662296933
NGA,0.9367406948116075
T_SHA,0.935031795544797
JHA,0.9345549508929027
CHHA,0.9320126333780885
DA,0.926629297561189
LA,0.9259366265918725
TAA,0.925319585464208
DHA,0.9170670778021847
YA,0.9139356734472461
M_SHA,0.9034803477276002
THAA,0.9019078233647025
KSHA,0.892047783365706
RA,0.891697644101693
GHA,0.8824986314100112
NA,0.8741579353699293
DAA,0.8700136732931244
JA,0.859986038662178
HA,0.8438924233504892
BHA,0.8394737973324156
NAA,0.8319587808001334
CHA,0.8251054163419862
DHAA,0.8133225895311763
KA,0.8072466663001154
GA,0.7983170075205274
YAN,0.7959160070793745
BA,0.7880385342088145
MA,0.7732443777280706
KHA,0.7539722486578747
GYA,0.7424753241609403
