,BA,BHA,CHA,CHHA,DA,DAA,DHA,DHAA,D_SHA,GA,GHA,GYA,HA,JA,JHA,KA,KHA,KSHA,LA,MA,M_SHA,NA,NAA,NGA,PA,PHA,RA,TA,TAA,THA,THAA,TRA,T_SHA,WA,YA,YAN
BA,51,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
BHA,0,67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0
CHA,0,0,73,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHHA,0,0,0,71,5,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DA,0,0,0,0,70,0,0,0,0,0,0,0,0,5,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAA,0,0,0,0,0,72,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0,0
DHA,1,0,3,0,0,0,75,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DHAA,2,0,0,0,0,3,0,60,0,0,2,0,4,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0
D_SHA,0,0,0,1,0,0,0,0,64,0,0,2,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GA,0,0,0,0,0,1,3,0,0,65,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
GHA,0,0,2,0,0,0,0,4,0,0,64,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GYA,0,0,10,0,0,0,0,0,0,0,0,52,0,0,0,0,0,4,12,0,0,0,1,0,1,0,3,0,1,0,0,0,0,0,0,0
HA,0,0,0,0,0,0,0,6,0,0,1,1,71,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JA,0,0,5,4,1,0,1,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JHA,0,9,2,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0
KA,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,62,0,0,0,0,1,0,3,1,0,0,0,0,4,0,0,0,0,0,0,3
KHA,0,0,2,0,0,2,0,0,0,11,0,2,0,0,0,8,54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2
KSHA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,63,0,0,0,0,1,0,10,0,0,0,1,0,0,1,0,0,0,0
LA,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,10,8,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
M_SHA,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,1,1,0,0,62,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0
NA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,2,0,0,0,0,0,4,1,1,0,0,0,10,0
NAA,0,2,0,0,0,0,6,5,0,0,3,1,0,0,0,0,0,0,0,0,0,3,62,0,0,0,0,0,2,0,0,0,0,0,0,0
NGA,0,0,11,0,1,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0
PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79,0,0,0,1,0,0,0,0,0,0,0
PHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,81,0,0,2,0,0,0,0,0,0,0
RA,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,62,0,0,0,0,0,2,1,0,0
TA,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,73,0,2,0,3,0,0,0,0
TAA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,77,0,1,0,0,0,0,0
THA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,79,0,0,0,2,0,0
THAA,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,5,0,68,0,0,0,0,0
TRA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,4
T_SHA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,76,0,3,0
WA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0
YA,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71,0
YAN,0,0,0,0,0,1,0,1,0,0,0,6,0,4,0,1,4,0,0,0,0,0,3,0,0,0,0,1,0,0,0,3,0,0,0,60
