filename,true_class,predicted_class,pred_confidence,true_class_score,fp_for_class,fn_for_class
KHA_17_aug_01.npz,KHA,GA,0.9054,0.0633,GA,KHA
KHA_17_aug_05.npz,KHA,GA,0.8741,0.0765,GA,KHA
KHA_17_aug_20.npz,KHA,GA,0.8323,0.1235,GA,KHA
KHA_28_aug_01.npz,KHA,YAN,0.8318,0.0769,YAN,KHA
GYA_25_aug_19.npz,GYA,LA,0.8217,0.0539,LA,GYA
KHA_17_aug_09.npz,KHA,GA,0.8183,0.1088,GA,KHA
M_SHA_18_aug_16.npz,M_SHA,KA,0.8115,0.0362,KA,M_SHA
GYA_25_aug_08.npz,GYA,LA,0.7851,0.0637,LA,GYA
GHA_1_aug_08.npz,GHA,HA,0.7761,0.0907,HA,GHA
KHA_10_aug_04.npz,KHA,GA,0.7747,0.086,GA,KHA
KHA_17_aug_03.npz,KHA,GA,0.7664,0.1252,GA,KHA
M_SHA_18_aug_18.npz,M_SHA,KA,0.7661,0.0344,KA,M_SHA
LA_2_aug_16.npz,LA,HA,0.7608,0.1398,HA,LA
KHA_28_aug_09.npz,KHA,YAN,0.7598,0.1062,YAN,KHA
GYA_6_aug_13.npz,GYA,CHA,0.7485,0.1099,CHA,GYA
GYA_6_aug_18.npz,GYA,CHA,0.7454,0.1015,CHA,GYA
GYA_6_aug_01.npz,GYA,CHA,0.7392,0.0898,CHA,GYA
KHA_10_aug_14.npz,KHA,GA,0.7369,0.0971,GA,KHA
GYA_6_aug_09.npz,GYA,CHA,0.7358,0.0374,CHA,GYA
LA_2_aug_15.npz,LA,HA,0.7335,0.1208,HA,LA
KHA_10_aug_16.npz,KHA,GA,0.7299,0.0875,GA,KHA
GYA_7_aug_15.npz,GYA,CHA,0.7277,0.1846,CHA,GYA
JA_8_aug_20.npz,JA,CHHA,0.7215,0.075,CHHA,JA
KHA_10_aug_19.npz,KHA,GA,0.7198,0.0975,GA,KHA
JA_8_aug_09.npz,JA,CHHA,0.7106,0.1236,CHHA,JA
GYA_6_aug_02.npz,GYA,CHA,0.7096,0.0482,CHA,GYA
GHA_1_aug_02.npz,GHA,HA,0.7087,0.1575,HA,GHA
DHAA_27_aug_19.npz,DHAA,TAA,0.7073,0.0494,TAA,DHAA
DHAA_27_aug_01.npz,DHAA,TAA,0.7049,0.0564,TAA,DHAA
GYA_1_aug_17.npz,GYA,LA,0.6915,0.0767,LA,GYA
GHA_1_aug_16.npz,GHA,HA,0.6889,0.0863,HA,GHA
CHA_25_aug_08.npz,CHA,LA,0.6877,0.202,LA,CHA
KSHA_4_aug_17.npz,KSHA,PA,0.6817,0.1789,PA,KSHA
YA_8_aug_10.npz,YA,DAA,0.6793,0.0414,DAA,YA
HA_9_aug_10.npz,HA,LA,0.6781,0.1048,LA,HA
CHA_25_aug_20.npz,CHA,LA,0.6778,0.2375,LA,CHA
HA_9_aug_01.npz,HA,LA,0.6743,0.1775,LA,HA
CHA_25_aug_09.npz,CHA,LA,0.6666,0.2494,LA,CHA
GA_16_aug_16.npz,GA,TAA,0.6645,0.1653,TAA,GA
THAA_1_aug_02.npz,THAA,DAA,0.6591,0.1553,DAA,THAA
NGA_7_aug_15.npz,NGA,CHA,0.6588,0.2868,CHA,NGA
GYA_6_aug_14.npz,GYA,CHA,0.6579,0.1761,CHA,GYA
M_SHA_18_aug_17.npz,M_SHA,KA,0.6541,0.0964,KA,M_SHA
NAA_17_aug_01.npz,NAA,DHA,0.6538,0.2845,DHA,NAA
KHA_15_aug_14.npz,KHA,KA,0.6532,0.061,KA,KHA
NGA_17_aug_16.npz,NGA,CHA,0.652,0.0656,CHA,NGA
GYA_1_aug_04.npz,GYA,LA,0.6505,0.1026,LA,GYA
CHA_25_aug_04.npz,CHA,LA,0.6464,0.2348,LA,CHA
NGA_17_aug_17.npz,NGA,CHA,0.6444,0.1006,CHA,NGA
HA_9_aug_18.npz,HA,LA,0.6439,0.1329,LA,HA
