class,n_true,n_predicted,n_fp,n_fn,fp_rate,fn_rate,precision,recall
BA,84,64,13,33,0.2031,0.3929,0.7969,0.6071
BHA,84,104,37,17,0.3558,0.2024,0.6442,0.7976
CHA,84,108,35,11,0.3241,0.131,0.6759,0.869
CHHA,84,80,9,13,0.1125,0.1548,0.8875,0.8452
DA,84,81,11,14,0.1358,0.1667,0.8642,0.8333
DAA,84,92,20,12,0.2174,0.1429,0.7826,0.8571
DHA,84,91,16,9,0.1758,0.1071,0.8242,0.8929
DHAA,84,76,16,24,0.2105,0.2857,0.7895,0.7143
D_SHA,78,66,2,14,0.0303,0.1795,0.9697,0.8205
GA,81,79,14,16,0.1772,0.1975,0.8228,0.8025
GHA,84,73,9,20,0.1233,0.2381,0.8767,0.7619
GYA,84,76,24,32,0.3158,0.381,0.6842,0.619
HA,84,95,24,13,0.2526,0.1548,0.7474,0.8452
JA,84,92,19,11,0.2065,0.131,0.7935,0.869
JHA,84,71,10,23,0.1408,0.2738,0.8592,0.7262
KA,81,79,17,19,0.2152,0.2346,0.7848,0.7654
KHA,84,78,24,30,0.3077,0.3571,0.6923,0.6429
KSHA,78,84,21,15,0.25,0.1923,0.75,0.8077
LA,81,104,29,6,0.2788,0.0741,0.7212,0.9259
MA,84,105,44,23,0.419,0.2738,0.581,0.7262
M_SHA,84,64,2,22,0.0312,0.2619,0.9688,0.7381
NA,81,65,4,20,0.0615,0.2469,0.9385,0.7531
NAA,84,84,22,22,0.2619,0.2619,0.7381,0.7381
NGA,84,68,2,18,0.0294,0.2143,0.9706,0.7857
PA,81,98,19,2,0.1939,0.0247,0.8061,0.9753
PHA,84,83,2,3,0.0241,0.0357,0.9759,0.9643
RA,84,74,12,22,0.1622,0.2619,0.8378,0.7381
TA,84,76,3,11,0.0395,0.131,0.9605,0.869
TAA,84,107,30,7,0.2804,0.0833,0.7196,0.9167
THA,84,82,3,5,0.0366,0.0595,0.9634,0.9405
THAA,84,74,6,16,0.0811,0.1905,0.9189,0.8095
TRA,84,82,10,12,0.122,0.1429,0.878,0.8571
T_SHA,84,94,18,8,0.1915,0.0952,0.8085,0.9048
WA,84,90,7,1,0.0778,0.0119,0.9222,0.9881
YA,81,85,14,10,0.1647,0.1235,0.8353,0.8765
YAN,84,70,10,24,0.1429,0.2857,0.8571,0.7143
