class,average_precision
PHA,0.9022921860109768
BA,0.8470708096289195
DAA,0.8370619131967775
NA,0.8365223191915114
HA,0.834491645045046
DHA,0.8236887012941986
GYA,0.8022264696357402
PA,0.7886408749585757
KSHA,0.7855178000496902
T_SHA,0.7811511684146086
CHHA,0.7798141861449568
LA,0.779314622808899
RA,0.7714750640098142
NAA,0.7708750024681124
TAA,0.7389571665993728
NGA,0.7372775724810703
M_SHA,0.7324992799788114
DA,0.7235668871942629
GHA,0.7235406572798411
MA,0.7227093558173718
D_SHA,0.7185534190895011
YA,0.7101709201796015
BHA,0.7086789384523664
TRA,0.7071645713019651
JHA,0.7067084493085247
THAA,0.7062037607798671
WA,0.7009559093991931
GA,0.6989987224891148
CHA,0.6737824462513812
KA,0.6722986264992232
DHAA,0.6571627539724414
THA,0.6429787300349644
YAN,0.6288255505249307
KHA,0.5996624395399353
JA,0.5802037426905036
TA,0.4732105911830129
