filename,true_label,predicted_label,correct,confidence,prob_BA,prob_BHA,prob_CHA,prob_CHHA,prob_DA,prob_DAA,prob_DHA,prob_DHAA,prob_D_SHA,prob_GA,prob_GHA,prob_GYA,prob_HA,prob_JA,prob_JHA,prob_KA,prob_KHA,prob_KSHA,prob_LA,prob_MA,prob_M_SHA,prob_NA,prob_NAA,prob_NGA,prob_PA,prob_PHA,prob_RA,prob_TA,prob_TAA,prob_THA,prob_THAA,prob_TRA,prob_T_SHA,prob_WA,prob_YA,prob_YAN
DAA_9_aug_03.npz,DAA,TA,False,0.99999094,3.9116453e-24,8.677071e-17,2.7727281e-14,1.7824957e-12,1.7922595e-12,3.307888e-07,1.1013434e-20,1.7045457e-12,7.301956e-23,1.3838832e-13,1.1250522e-25,1.9520564e-14,5.212182e-32,2.0315574e-17,2.1025366e-13,4.781783e-16,9.1129365e-10,6.0784804e-15,1.2021607e-19,2.6747197e-20,1.9004921e-12,1.1546786e-06,8.181073e-17,5.7228083e-15,1.4648266e-12,1.1569034e-22,6.3045065e-16,0.99999094,2.2418581e-11,7.378594e-06,2.3822716e-10,1.0865153e-08,1.1030177e-11,1.04191884e-07,8.871877e-08,3.4852475e-12
DAA_9_aug_06.npz,DAA,TA,False,0.99998474,3.4968456e-23,3.7470493e-15,5.1459345e-14,3.972941e-12,3.0460088e-12,3.425372e-07,9.648524e-20,1.9114079e-12,1.8961764e-22,2.7502742e-13,5.5444707e-26,1.649805e-13,1.2726286e-31,9.404986e-18,2.0092916e-12,3.4753944e-16,9.523113e-10,3.654905e-15,5.325782e-19,5.214232e-19,2.4399857e-12,5.685183e-06,3.0216413e-16,7.050824e-14,6.263486e-13,5.630291e-22,7.111355e-15,0.99998474,8.3496626e-11,8.690672e-06,5.0087273e-10,1.0960039e-08,5.7570955e-11,2.5309285e-07,2.2538985e-07,7.7309215e-13
DA_17_aug_05.npz,DA,JA,False,0.9999844,2.1692494e-19,4.326924e-26,5.381786e-13,9.556071e-12,1.5341047e-05,1.8201547e-13,3.3599452e-16,6.3423955e-09,4.3248898e-13,9.2805444e-15,8.039862e-10,6.3718395e-19,1.0884173e-14,0.9999844,2.5741396e-13,6.0699834e-11,9.526485e-11,6.606031e-11,1.5908232e-16,1.3545289e-25,4.314895e-13,1.7950139e-25,1.9566573e-15,5.954261e-22,3.866165e-17,1.5195975e-22,1.4567329e-25,2.870811e-17,1.4648165e-20,7.115312e-23,7.991502e-18,3.3634255e-13,6.2428426e-23,8.842709e-27,1.173927e-22,2.3972785e-07
DA_17_aug_12.npz,DA,JA,False,0.9999628,3.247602e-18,3.829455e-27,1.6262536e-16,1.4358073e-12,3.7169157e-05,1.4879522e-15,8.675291e-20,1.8466063e-10,8.087732e-11,3.06879e-19,6.955474e-14,6.228801e-20,1.6034506e-14,0.9999628,2.9498048e-14,2.040028e-16,9.197903e-16,2.1680707e-10,2.7157539e-16,1.2374236e-25,3.9147025e-15,1.6172478e-29,2.7530308e-18,6.1620853e-27,1.4626416e-19,7.0314264e-25,2.013578e-24,1.5057808e-20,7.065608e-23,1.2073901e-25,9.760247e-22,1.2318312e-13,2.3583652e-22,4.770381e-27,1.25824506e-23,7.463331e-10
GHA_8_aug_04.npz,GHA,CHA,False,0.999856,1.9293678e-24,1.6615708e-16,0.999856,2.1446922e-18,1.3129844e-13,3.6511282e-17,1.5822248e-09,9.484351e-06,2.7762238e-24,5.8708927e-12,2.221726e-06,1.1822163e-09,8.962378e-16,3.930459e-15,3.2479823e-09,9.035796e-11,2.568545e-07,1.850705e-16,3.7349714e-08,1.472946e-24,3.301748e-10,4.713101e-10,9.31137e-08,0.00012234284,4.089871e-14,2.9418347e-12,1.7773021e-16,1.3269872e-06,5.444609e-09,8.219787e-06,4.1876842e-17,2.127198e-11,2.2341752e-15,1.9322085e-19,4.6496063e-22,5.5474323e-09
YA_8_aug_05.npz,YA,TA,False,0.9997454,2.9218174e-22,3.4081923e-15,3.5406066e-12,4.0039144e-12,1.085988e-11,1.53782e-07,2.2187278e-21,2.2407927e-09,8.008953e-22,2.734799e-13,1.12631e-23,2.0765289e-13,9.2799243e-29,1.3387554e-17,3.740869e-11,1.1280936e-17,2.2899709e-09,1.0936702e-12,6.8360086e-15,1.1472444e-18,1.1073987e-11,1.28662705e-05,3.28739e-17,3.1744176e-14,9.913484e-13,2.2348673e-21,2.152629e-12,0.9997454,6.787108e-11,0.00022639582,2.853228e-12,1.7508315e-06,5.5336763e-08,1.2455012e-05,9.3361473e-07,6.2808987e-13
DAA_9_aug_12.npz,DAA,TA,False,0.99973613,1.1390165e-21,3.760593e-15,7.9532306e-13,7.565097e-12,5.1917224e-11,3.08583e-06,1.2540103e-18,3.025545e-11,4.3586105e-20,5.094878e-12,1.7011085e-22,1.1629189e-12,5.984686e-28,1.1130633e-15,7.623092e-12,6.9023224e-14,4.21943e-08,1.2889094e-12,4.870854e-17,2.1454335e-18,4.4737547e-10,8.23361e-05,8.357606e-15,1.9941774e-13,1.719911e-10,4.1232053e-19,1.9166628e-13,0.99973613,6.29828e-10,0.00017030476,1.0368875e-08,6.0921997e-07,1.6575664e-09,2.5747888e-06,4.9010055e-06,2.305854e-10
NGA_9_aug_09.npz,NGA,TA,False,0.99972016,7.7463816e-20,3.6207381e-13,0.00010387357,7.7799145e-10,7.5538533e-06,1.7874214e-09,2.827908e-09,1.1368154e-05,1.117178e-19,7.152928e-12,2.3104362e-13,5.5092492e-05,1.8972981e-19,1.3905213e-10,1.2892731e-07,7.789622e-11,8.8057495e-06,7.7316734e-14,2.548532e-10,6.534346e-18,1.517242e-06,1.3763328e-07,7.346846e-07,5.786962e-05,5.8009926e-14,3.8116247e-18,8.429321e-15,0.99972016,2.6858984e-10,2.0140352e-08,5.1207136e-11,3.2373373e-05,9.284103e-09,3.0618479e-12,8.501151e-12,4.0210583e-07
GHA_8_aug_12.npz,GHA,CHA,False,0.9997148,1.1424644e-29,6.8952426e-17,0.9997148,6.6312506e-22,4.9575094e-15,4.3806602e-17,2.5299578e-11,2.7516141e-06,2.5300337e-27,3.1535824e-12,3.2240755e-10,3.8282738e-07,6.4266466e-20,2.2076036e-18,4.3510806e-10,7.9731095e-13,1.01917024e-07,8.9002574e-18,5.1280313e-09,9.002206e-28,5.3915716e-10,7.673733e-10,8.750797e-07,0.00023861043,7.954474e-16,1.9045068e-15,3.0536139e-16,1.9172914e-05,1.9107839e-07,2.3204493e-05,3.8347223e-17,1.9891463e-10,1.1884815e-16,9.963662e-20,7.229904e-24,3.3675943e-10
YA_21_aug_09.npz,YA,TA,False,0.9995468,6.631242e-13,1.25995075e-14,8.668423e-09,5.62485e-08,2.4018005e-09,1.8397289e-07,7.516346e-13,5.5092944e-08,1.2134961e-14,3.5642236e-13,4.565934e-13,1.419595e-14,2.8698818e-18,1.8436558e-11,5.8947127e-12,1.6769999e-08,1.7980105e-10,3.67216e-11,1.7879748e-12,3.429734e-13,4.1371262e-10,4.2611953e-07,6.31056e-12,8.703146e-13,5.941224e-06,9.649638e-12,1.8242081e-14,0.9995468,6.6566286e-06,0.00018030728,2.474188e-09,1.3532882e-10,6.8409417e-10,2.9848577e-06,0.0002564018,6.499614e-08
