class,auc
CHA,0.9885779741449844
JHA,0.9838078874161349
CHHA,0.9837792505318279
NA,0.982877946031625
PHA,0.9816069383079692
GYA,0.9814105711012928
M_SHA,0.9809401080019637
DA,0.9778800523645885
THA,0.9777164130256913
NGA,0.9758018327605956
DHAA,0.975670921289478
TRA,0.9754663721158566
TAA,0.972259041073474
KHA,0.9709867452135494
NAA,0.970561282932417
T_SHA,0.970225822287678
TA,0.9687080674194077
YAN,0.9681189657993783
YA,0.9675486219713247
PA,0.9673875729488499
DHA,0.9665971199476354
RA,0.9662207494681722
KA,0.9658957504248726
BHA,0.9646211749304532
HA,0.9635125184094256
LA,0.9616025225362678
GA,0.9605429894936703
GHA,0.9588528882343315
THAA,0.9585092456226477
JA,0.9566355751922762
DAA,0.9560996563573883
BA,0.9554491899852724
KSHA,0.9554007949069677
D_SHA,0.9532948190355598
MA,0.9513582065128457
WA,0.950143184421535
