,BA,BHA,CHA,CHHA,DA,DAA,DHA,DHAA,D_SHA,GA,GHA,GYA,HA,JA,JHA,KA,KHA,KSHA,LA,MA,M_SHA,NA,NAA,NGA,PA,PHA,RA,TA,TAA,THA,THAA,TRA,T_SHA,WA,YA,YAN
BA,57,0,0,10,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,3,0,4,0,0,2,0,0,0
BHA,0,48,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,3,0,2,0,0,0,0,5,5,2,2,0,0,3,0,0,0
CHA,0,0,66,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,7,0,0,0,0,0,0,0,0
CHHA,1,0,0,60,0,0,2,6,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
DA,0,0,0,0,45,0,0,4,1,0,0,0,0,6,2,1,1,2,0,0,12,0,0,0,0,0,0,6,0,0,0,1,0,0,0,3
DAA,0,0,0,0,0,61,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,5,0,0,0,4
DHA,0,1,0,0,0,0,53,3,0,0,0,0,0,1,0,5,3,0,0,0,2,0,8,2,0,2,0,1,0,0,3,0,0,0,0,0
DHAA,0,0,2,0,0,0,0,65,0,0,3,0,0,0,0,0,0,5,0,0,2,0,1,0,0,0,0,1,0,0,2,0,0,0,0,3
D_SHA,3,2,0,0,0,0,0,2,43,0,0,1,0,6,0,0,0,2,0,2,1,0,0,0,6,0,1,1,2,4,0,0,0,2,0,0
GA,0,0,4,0,0,0,0,1,0,54,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,6,0,3,0,3,0,0,0,5
GHA,0,0,5,0,0,0,0,24,0,0,43,0,2,0,0,0,0,0,0,0,0,0,3,0,2,1,0,2,0,0,0,0,0,0,0,2
GYA,0,0,2,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,15,1,0,5,1,3,0,0,0
HA,2,0,0,0,0,0,0,23,0,0,3,0,52,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
JA,0,0,4,0,5,0,0,10,1,0,1,0,0,46,0,0,1,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,9
