filename,true_class,predicted_class,pred_confidence,true_class_score,error_type,fp_for_class,fn_for_class
LA_16_aug_01_crop.npz,LA,DHAA,1.0,0.0,FP,DHAA,LA
KA_15_aug_19_crop.npz,KA,M_SHA,1.0,0.0,FP,M_SHA,KA
DAA_20_aug_11_crop.npz,DAA,GA,1.0,0.0,FP,GA,DAA
TRA_15_aug_06_crop.npz,TRA,KHA,1.0,0.0,FP,KHA,TRA
DAA_12_aug_02_crop.npz,DAA,GA,1.0,0.0,FP,GA,DAA
HA_23_aug_16_crop.npz,HA,GHA,0.9999,1e-04,FP,GHA,HA
LA_26_aug_05_crop.npz,LA,CHA,0.9999,1e-04,FP,CHA,LA
GA_20_aug_16_crop.npz,GA,KHA,0.9998,0.0002,FP,KHA,GA
DAA_13_aug_11_crop.npz,DAA,DHAA,0.9996,0.0002,FP,DHAA,DAA
DAA_12_aug_05_crop.npz,DAA,GA,0.9995,0.0005,FP,GA,DAA
TRA_16_aug_10_crop.npz,TRA,KHA,0.9985,0.0005,FP,KHA,TRA
KSHA_10_aug_13_crop.npz,KSHA,THAA,0.998,0.0017,FP,THAA,KSHA
NA_18_aug_11_crop.npz,NA,NAA,0.9977,0.0022,FP,NAA,NA
JHA_27_aug_19_crop.npz,JHA,T_SHA,0.9969,0.0031,FP,T_SHA,JHA
KHA_16_aug_03_crop.npz,KHA,GA,0.9959,0.0041,FP,GA,KHA
DAA_12_aug_08_crop.npz,DAA,GA,0.995,0.0049,FP,GA,DAA
DAA_25_aug_15_crop.npz,DAA,GA,0.9949,0.0045,FP,GA,DAA
DAA_17_aug_09_crop.npz,DAA,GA,0.9949,0.002,FP,GA,DAA
NA_8_aug_01_crop.npz,NA,NAA,0.9941,0.0059,FP,NAA,NA
THAA_26_aug_01_crop.npz,THAA,THA,0.9936,0.0016,FP,THA,THAA
LA_2_aug_18_crop.npz,LA,DHAA,0.9931,0.0048,FP,DHAA,LA
DAA_12_aug_09_crop.npz,DAA,GA,0.9917,0.008,FP,GA,DAA
TRA_15_aug_10_crop.npz,TRA,KHA,0.9885,0.0115,FP,KHA,TRA
DAA_25_aug_17_crop.npz,DAA,GA,0.9856,0.0139,FP,GA,DAA
NA_18_aug_01_crop.npz,NA,NAA,0.9771,0.0219,FP,NAA,NA
THAA_27_aug_05_crop.npz,THAA,GA,0.975,0.025,FP,GA,THAA
NA_8_aug_16_crop.npz,NA,NAA,0.9735,0.0263,FP,NAA,NA
CHA_21_aug_07_crop.npz,CHA,GYA,0.9733,0.0267,FP,GYA,CHA
JHA_14_aug_08_crop.npz,JHA,T_SHA,0.9679,0.0321,FP,T_SHA,JHA
PHA_18_aug_12_crop.npz,PHA,M_SHA,0.9635,0.0027,FP,M_SHA,PHA
M_SHA_22_aug_11_crop.npz,M_SHA,NAA,0.9603,0.0397,FP,NAA,M_SHA
NA_9_aug_01_crop.npz,NA,JHA,0.9346,0.0003,FP,JHA,NA
KA_5_aug_05_crop.npz,KA,THAA,0.9255,0.0735,FP,THAA,KA
WA_20_aug_07_crop.npz,WA,THA,0.9238,0.0203,FP,THA,WA
LA_2_aug_10_crop.npz,LA,NGA,0.9237,0.0,FP,NGA,LA
DHA_1_aug_09_crop.npz,DHA,NAA,0.9138,0.0008,FP,NAA,DHA
DHA_1_aug_05_crop.npz,DHA,NAA,0.9128,0.0121,FP,NAA,DHA
KSHA_8_aug_08_crop.npz,KSHA,TRA,0.9074,0.0911,FP,TRA,KSHA
YAN_19_aug_10_crop.npz,YAN,KHA,0.9053,0.0802,FP,KHA,YAN
NA_18_aug_12_crop.npz,NA,NAA,0.8951,0.1008,FP,NAA,NA
DAA_6_aug_15_crop.npz,DAA,GA,0.8935,0.0013,FP,GA,DAA
TRA_26_aug_18_crop.npz,TRA,KHA,0.8926,0.1074,FP,KHA,TRA
MA_9_aug_20_crop.npz,MA,BHA,0.8837,0.1163,FP,BHA,MA
CHHA_27_aug_02_crop.npz,CHHA,BA,0.8764,0.0662,FP,BA,CHHA
DAA_18_aug_06_crop.npz,DAA,DHAA,0.8738,0.0474,FP,DHAA,DAA
DAA_4_aug_01_crop.npz,DAA,GA,0.8514,0.1484,FP,GA,DAA
THA_20_aug_07_crop.npz,THA,TA,0.8428,0.0394,FP,TA,THA
M_SHA_14_aug_11_crop.npz,M_SHA,TAA,0.8409,0.0796,FP,TAA,M_SHA
KHA_10_aug_09_crop.npz,KHA,GA,0.8385,0.1615,FP,GA,KHA
RA_4_aug_03_crop.npz,RA,T_SHA,0.8153,0.1801,FP,T_SHA,RA
