class,n_true,n_predicted,n_fp,n_fn,fp_rate,fn_rate,precision,recall
BA,84,85,1,0,0.0118,0.0,0.9882,1.0
BHA,83,85,2,0,0.0235,0.0,0.9765,1.0
CHA,84,84,2,2,0.0238,0.0238,0.9762,0.9762
CHHA,84,83,0,1,0.0,0.0119,1.0,0.9881
DA,84,84,0,0,0.0,0.0,1.0,1.0
DAA,81,68,0,13,0.0,0.1605,1.0,0.8395
DHA,84,82,2,4,0.0244,0.0476,0.9756,0.9524
DHAA,84,86,5,3,0.0581,0.0357,0.9419,0.9643
D_SHA,78,75,0,3,0.0,0.0385,1.0,0.9615
GA,81,95,15,1,0.1579,0.0123,0.8421,0.9877
GHA,84,86,2,0,0.0233,0.0,0.9767,1.0
GYA,84,83,1,2,0.012,0.0238,0.988,0.9762
HA,84,85,3,2,0.0353,0.0238,0.9647,0.9762
JA,84,83,0,1,0.0,0.0119,1.0,0.9881
JHA,84,83,1,2,0.012,0.0238,0.988,0.9762
KA,81,80,1,2,0.0125,0.0247,0.9875,0.9753
KHA,84,86,6,4,0.0698,0.0476,0.9302,0.9524
KSHA,78,74,1,5,0.0135,0.0641,0.9865,0.9359
LA,81,79,2,4,0.0253,0.0494,0.9747,0.9506
MA,84,83,0,1,0.0,0.0119,1.0,0.9881
M_SHA,84,83,2,3,0.0241,0.0357,0.9759,0.9643
NA,81,73,0,8,0.0,0.0988,1.0,0.9012
NAA,84,97,13,0,0.134,0.0,0.866,1.0
NGA,84,85,1,0,0.0118,0.0,0.9882,1.0
PA,81,81,1,1,0.0123,0.0123,0.9877,0.9877
PHA,84,83,0,1,0.0,0.0119,1.0,0.9881
RA,84,82,0,2,0.0,0.0238,1.0,0.9762
TA,84,85,1,0,0.0118,0.0,0.9882,1.0
TAA,84,85,1,0,0.0118,0.0,0.9882,1.0
THA,84,85,2,1,0.0235,0.0119,0.9765,0.9881
THAA,84,85,3,2,0.0353,0.0238,0.9647,0.9762
TRA,84,82,2,4,0.0244,0.0476,0.9756,0.9524
T_SHA,84,87,3,0,0.0345,0.0,0.9655,1.0
WA,84,84,1,1,0.0119,0.0119,0.9881,0.9881
YA,81,80,0,1,0.0,0.0123,1.0,0.9877
YAN,84,84,2,2,0.0238,0.0238,0.9762,0.9762
