class,auc
CHHA,1.0
DA,1.0
RA,1.0
JA,1.0
BHA,0.999995855454843
TAA,0.9999918067708845
TA,0.9999918067708845
NGA,0.9999918067708845
PA,0.9999915120804316
D_SHA,0.9999911947027331
BA,0.9999877101563268
T_SHA,0.9999877101563268
MA,0.9999877101563268
WA,0.9999836135417691
YAN,0.9999795169272113
GYA,0.9999754203126536
JHA,0.9999713236980959
GHA,0.9999672270835381
PHA,0.9999631304689804
THA,0.9999508406253073
HA,0.9999262609379609
CHA,0.9999098744797299
KSHA,0.9998547125950972
DHA,0.9998074591157867
M_SHA,0.9997705895847673
KA,0.9997411184531615
NAA,0.9996804640644971
YA,0.999677459056398
THAA,0.9996640776062662
LA,0.9995119446248126
NA,0.9995034567052442
KHA,0.9994797299511684
DHAA,0.9994776816438894
GA,0.999427065429128
TRA,0.9993322518270901
DAA,0.9988626187778245
