class,average_precision
CHHA,1.0
DA,1.0
RA,1.0
JA,1.0
BHA,0.9998565691336775
TAA,0.9997182206215821
NGA,0.999718220621582
TA,0.9997182206215819
PA,0.9996970271485981
D_SHA,0.9996733494786075
MA,0.9995894909688013
T_SHA,0.9995747897552596
BA,0.9995747897552595
WA,0.9994588744588745
YAN,0.9993171511028655
GYA,0.999165948057661
JHA,0.9990460389290864
PHA,0.9988479262672811
GHA,0.9988305094977337
THA,0.9983685537806853
HA,0.9978151260504201
CHA,0.9968552594341872
KSHA,0.9952501797627679
KA,0.9944023362300789
DHA,0.994306730613669
YA,0.9940237477392468
THAA,0.9912251279603427
M_SHA,0.9897657477911138
NAA,0.9897383915058713
LA,0.9896080912123026
TRA,0.9864784512267758
GA,0.9864072526228638
NA,0.9859891910438672
KHA,0.9803650701363664
DHAA,0.9755046019209714
DAA,0.9702369875071435
