class,auc
GHA,0.9996809032891507
GYA,0.9996522664048437
DHA,0.9995540828015055
JA,0.9994886270659467
KA,0.9994193758926566
LA,0.9991481354337516
NA,0.9989955626756176
HA,0.9989322533136966
YA,0.9988133229922909
YAN,0.9986622484045165
DHAA,0.9986131566028473
GA,0.9985802257229195
T_SHA,0.9984863361152021
NGA,0.998265423007691
WA,0.9979995090819833
KHA,0.9978072328587793
D_SHA,0.9977972987232246
PA,0.9974105012438917
TA,0.9970872197676321
PHA,0.9969931271477663
CHHA,0.9969767632138765
JHA,0.9965349369988545
TRA,0.9964776632302405
MA,0.9961585665193913
RA,0.9948085419734904
KSHA,0.9946581196581197
THAA,0.9943544428080511
CHA,0.9938307969235803
TAA,0.9924889543446244
DA,0.9922844051710031
THA,0.9911675666830306
BHA,0.9908280150548192
NAA,0.9907052855506464
BA,0.9900057273768614
M_SHA,0.9888316151202748
DAA,0.9867247586319752
