filename,true_class,predicted_class,pred_confidence,true_class_score,fp_for_class,fn_for_class
LA_7_aug_08.npz,LA,CHA,0.9319,0.0293,CHA,LA
MA_8_aug_09.npz,MA,BA,0.9195,0.0094,BA,MA
HA_24_aug_19.npz,HA,LA,0.8979,0.0493,LA,HA
THA_20_aug_11.npz,THA,JHA,0.8965,0.0109,JHA,THA
D_SHA_22_aug_01.npz,D_SHA,GYA,0.8935,0.019,GYA,D_SHA
THA_8_aug_17.npz,THA,JHA,0.8933,0.0258,JHA,THA
MA_8_aug_10.npz,MA,CHHA,0.8917,0.0389,CHHA,MA
KSHA_8_aug_08.npz,KSHA,TRA,0.8904,0.0332,TRA,KSHA
WA_15_aug_20.npz,WA,DAA,0.8876,0.008,DAA,WA
DHAA_13_aug_02.npz,DHAA,HA,0.8875,0.0352,HA,DHAA
THA_20_aug_10.npz,THA,JHA,0.8798,0.0503,JHA,THA
DAA_26_aug_05.npz,DAA,TRA,0.8793,0.0191,TRA,DAA
RA_9_aug_13.npz,RA,T_SHA,0.873,0.0134,T_SHA,RA
YAN_9_aug_13.npz,YAN,PHA,0.8718,0.0504,PHA,YAN
YA_26_aug_11.npz,YA,WA,0.8711,0.0423,WA,YA
MA_6_aug_16.npz,MA,BA,0.8655,0.0157,BA,MA
BA_15_aug_02.npz,BA,T_SHA,0.8607,0.0482,T_SHA,BA
LA_7_aug_19.npz,LA,CHA,0.8605,0.0859,CHA,LA
MA_8_aug_14.npz,MA,CHHA,0.8593,0.0396,CHHA,MA
DHAA_13_aug_12.npz,DHAA,HA,0.8559,0.0955,HA,DHAA
BA_15_aug_04.npz,BA,T_SHA,0.8551,0.0296,T_SHA,BA
THAA_8_aug_06.npz,THAA,TAA,0.8531,0.0205,TAA,THAA
RA_23_aug_15.npz,RA,T_SHA,0.8521,0.0329,T_SHA,RA
D_SHA_21_aug_04.npz,D_SHA,TRA,0.8493,0.0546,TRA,D_SHA
PHA_22_aug_16.npz,PHA,DHA,0.8483,0.0586,DHA,PHA
KHA_15_aug_18.npz,KHA,DA,0.8444,0.0073,DA,KHA
THA_20_aug_16.npz,THA,JHA,0.8434,0.0775,JHA,THA
KSHA_5_aug_16.npz,KSHA,DAA,0.8414,0.0169,DAA,KSHA
TRA_9_aug_01.npz,TRA,D_SHA,0.8398,0.0336,D_SHA,TRA
PA_14_aug_06.npz,PA,YAN,0.8387,0.0596,YAN,PA
TRA_8_aug_08.npz,TRA,D_SHA,0.8384,0.0421,D_SHA,TRA
THAA_7_aug_08.npz,THAA,PA,0.8362,0.0197,PA,THAA
M_SHA_9_aug_20.npz,M_SHA,DHAA,0.8358,0.0023,DHAA,M_SHA
NGA_13_aug_19.npz,NGA,GHA,0.8339,0.0161,GHA,NGA
RA_23_aug_06.npz,RA,T_SHA,0.8317,0.0467,T_SHA,RA
BHA_2_aug_18.npz,BHA,MA,0.8317,0.1249,MA,BHA
CHA_6_aug_17.npz,CHA,DHA,0.8308,0.0074,DHA,CHA
DAA_8_aug_09.npz,DAA,TRA,0.8304,0.0064,TRA,DAA
KHA_15_aug_11.npz,KHA,DA,0.8296,0.0478,DA,KHA
THA_19_aug_03.npz,THA,TAA,0.8291,0.0168,TAA,THA
TRA_9_aug_17.npz,TRA,M_SHA,0.8278,0.0669,M_SHA,TRA
NA_15_aug_02.npz,NA,TA,0.8258,0.019,TA,NA
MA_8_aug_02.npz,MA,BA,0.8249,0.0236,BA,MA
BHA_7_aug_14.npz,BHA,JHA,0.8237,0.0014,JHA,BHA
KSHA_3_aug_13.npz,KSHA,M_SHA,0.8214,0.06,M_SHA,KSHA
DAA_15_aug_11.npz,DAA,WA,0.8188,0.0103,WA,DAA
DA_1_aug_18.npz,DA,KA,0.8184,0.0094,KA,DA
DHA_3_aug_18.npz,DHA,PHA,0.8169,0.1302,PHA,DHA
YA_6_aug_07.npz,YA,RA,0.8168,0.0243,RA,YA
RA_15_aug_15.npz,RA,YA,0.8136,0.0225,YA,RA
