class,n_true,n_predicted,n_fp,n_fn,fp_rate,fn_rate,precision,recall
BA,84,79,9,14,0.1139,0.1667,0.8861,0.8333
BHA,84,67,13,30,0.194,0.3571,0.806,0.6429
CHA,84,83,8,9,0.0964,0.1071,0.9036,0.8929
CHHA,84,92,10,2,0.1087,0.0238,0.8913,0.9762
DA,84,88,10,6,0.1136,0.0714,0.8864,0.9286
DAA,84,78,9,15,0.1154,0.1786,0.8846,0.8214
DHA,84,89,8,3,0.0899,0.0357,0.9101,0.9643
DHAA,84,80,6,10,0.075,0.119,0.925,0.881
D_SHA,78,88,16,6,0.1818,0.0769,0.8182,0.9231
GA,81,81,3,3,0.037,0.037,0.963,0.963
GHA,84,90,10,4,0.1111,0.0476,0.8889,0.9524
GYA,84,89,7,2,0.0787,0.0238,0.9213,0.9762
HA,84,83,9,10,0.1084,0.119,0.8916,0.881
JA,84,84,8,8,0.0952,0.0952,0.9048,0.9048
JHA,84,88,11,7,0.125,0.0833,0.875,0.9167
KA,81,84,8,5,0.0952,0.0617,0.9048,0.9383
KHA,84,84,4,4,0.0476,0.0476,0.9524,0.9524
KSHA,78,75,11,14,0.1467,0.1795,0.8533,0.8205
LA,81,94,15,2,0.1596,0.0247,0.8404,0.9753
MA,84,100,23,7,0.23,0.0833,0.77,0.9167
M_SHA,84,91,16,9,0.1758,0.1071,0.8242,0.8929
NA,81,83,7,5,0.0843,0.0617,0.9157,0.9383
NAA,84,72,7,19,0.0972,0.2262,0.9028,0.7738
NGA,84,85,6,5,0.0706,0.0595,0.9294,0.9405
PA,81,76,8,13,0.1053,0.1605,0.8947,0.8395
PHA,84,83,5,6,0.0602,0.0714,0.9398,0.9286
RA,84,69,10,25,0.1449,0.2976,0.8551,0.7024
TA,84,80,9,13,0.1125,0.1548,0.8875,0.8452
TAA,84,97,25,12,0.2577,0.1429,0.7423,0.8571
THA,84,84,14,14,0.1667,0.1667,0.8333,0.8333
THAA,84,79,11,16,0.1392,0.1905,0.8608,0.8095
TRA,84,77,12,19,0.1558,0.2262,0.8442,0.7738
T_SHA,84,96,20,8,0.2083,0.0952,0.7917,0.9048
WA,84,70,5,19,0.0714,0.2262,0.9286,0.7738
YA,81,79,9,11,0.1139,0.1358,0.8861,0.8642
YAN,84,77,4,11,0.0519,0.131,0.9481,0.869
