class,auc
GYA,0.9999754540991654
PHA,0.9999018163966618
GHA,0.9998199967272132
T_SHA,0.9998077237767959
DHA,0.9996972672230404
DHAA,0.9996563573883162
CHHA,0.9996440844378989
PA,0.999631282501176
YAN,0.9996154475535919
TA,0.9996113565701195
M_SHA,0.9995213549337261
JA,0.9994599901816397
NA,0.9993558039101007
MA,0.9993372606774669
LA,0.9993049463240561
HA,0.9991204385534282
KHA,0.9989527082310588
TRA,0.9989158893798069
NAA,0.9989077074128621
JHA,0.9988340697103584
YA,0.9988175611244612
CHA,0.9985477008672885
KA,0.9985166537403636
BA,0.9984249713631157
THAA,0.998322696776305
RA,0.9981672394043528
DA,0.9979095074455899
NGA,0.9973940435280642
BHA,0.9971567664866634
WA,0.9971199476354116
THA,0.996874488627066
D_SHA,0.9960606380359467
GA,0.9943929511385741
KSHA,0.9929962013295347
TAA,0.9870602192767142
DAA,0.9850392734413354
