class,average_precision
GYA,0.9991787624140565
PHA,0.9965454762556529
T_SHA,0.9947881559200573
GHA,0.9937533271413745
CHHA,0.9903817835353655
KHA,0.9895927346258496
MA,0.9890900304830218
JA,0.9888116891168477
DHAA,0.9887175270596799
YAN,0.9882766308750053
TA,0.9878018930781095
LA,0.9862465814962262
DHA,0.9862179490131114
PA,0.9860533964908584
NA,0.9854351402732602
HA,0.9839389848455545
M_SHA,0.9833335563946204
D_SHA,0.9815124317991377
NAA,0.980512395162568
JHA,0.9803929186157757
KA,0.9798490728477857
YA,0.977871805959345
BA,0.9753206306821466
DA,0.9712346278624332
TRA,0.9697096863224526
BHA,0.9694450701646717
RA,0.9690323061010786
NGA,0.9683497498344654
GA,0.9675759218719556
WA,0.9652684932328169
KSHA,0.9644152172758993
THA,0.9635211036915172
THAA,0.9632787323107314
CHA,0.9593803455251708
TAA,0.949599204859645
DAA,0.9441541707716317
