class,average_precision
PHA,1.0
DA,0.9997231450719822
PA,0.9995500979684628
CHHA,0.9994477676127922
D_SHA,0.9990500391858834
RA,0.9988855976872233
WA,0.9984802330677847
TA,0.9984037809880506
THA,0.9983312716071975
THAA,0.9981915021311402
KA,0.9979359967282673
JA,0.9979128151046468
JHA,0.9977855976202288
TAA,0.9970202560840695
GYA,0.9966779241096834
M_SHA,0.9964038779082006
NGA,0.9961430069252041
DAA,0.9959093316573806
LA,0.9953446896853199
HA,0.9943428673420434
BHA,0.9940881957459498
NA,0.9940102451371753
TRA,0.992784618644546
CHA,0.9919021209499744
T_SHA,0.991615512451554
KSHA,0.9915360784025244
YAN,0.9882239363571139
YA,0.987620157539301
DHA,0.9796450950186603
MA,0.974714691325378
BA,0.9723467582641123
GA,0.9696439714258173
KHA,0.9640082625457943
NAA,0.9514229201115096
GHA,0.788080504542812
DHAA,0.7734690967214812
