filename,true_class,predicted_class,pred_confidence,true_class_score,fp_for_class,fn_for_class
KHA_7_aug_11.npz,KHA,YAN,0.956,0.015,YAN,KHA
WA_26_aug_15.npz,WA,YA,0.9446,0.0543,YA,WA
LA_15_aug_13.npz,LA,HA,0.9124,0.0355,HA,LA
NA_18_aug_12.npz,NA,NAA,0.9089,0.0445,NAA,NA
GHA_4_aug_10.npz,GHA,HA,0.9076,0.0671,HA,GHA
CHA_18_aug_15.npz,CHA,LA,0.8974,0.0929,LA,CHA
YAN_18_aug_15.npz,YAN,JA,0.886,0.1125,JA,YAN
KSHA_8_aug_11.npz,KSHA,TRA,0.8786,0.0726,TRA,KSHA
BHA_15_aug_03.npz,BHA,MA,0.873,0.0992,MA,BHA
CHA_8_aug_01.npz,CHA,NGA,0.872,0.0841,NGA,CHA
BA_7_aug_01.npz,BA,CHHA,0.8619,0.1376,CHHA,BA
YAN_9_aug_13.npz,YAN,YA,0.8603,0.013,YA,YAN
YA_3_aug_03.npz,YA,BA,0.8546,0.002,BA,YA
YAN_8_aug_14.npz,YAN,KHA,0.8492,0.1275,KHA,YAN
GYA_16_aug_04.npz,GYA,CHA,0.8478,0.1275,CHA,GYA
DHAA_13_aug_12.npz,DHAA,JA,0.8457,0.0116,JA,DHAA
TRA_5_aug_07.npz,TRA,KSHA,0.8317,0.0179,KSHA,TRA
KHA_18_aug_12.npz,KHA,M_SHA,0.8311,0.1226,M_SHA,KHA
BA_15_aug_14.npz,BA,YA,0.8278,0.0357,YA,BA
DAA_1_aug_20.npz,DAA,GA,0.8268,0.151,GA,DAA
JHA_24_aug_03.npz,JHA,T_SHA,0.824,0.1537,T_SHA,JHA
MA_15_aug_16.npz,MA,BA,0.8173,0.1659,BA,MA
T_SHA_2_aug_11.npz,T_SHA,RA,0.8159,0.1458,RA,T_SHA
KSHA_19_aug_14.npz,KSHA,GA,0.8118,0.0818,GA,KSHA
DHAA_13_aug_16.npz,DHAA,HA,0.8059,0.0496,HA,DHAA
T_SHA_9_aug_11.npz,T_SHA,RA,0.8029,0.1735,RA,T_SHA
T_SHA_6_aug_10.npz,T_SHA,JHA,0.7989,0.1942,JHA,T_SHA
M_SHA_6_aug_17.npz,M_SHA,PHA,0.7901,0.1691,PHA,M_SHA
GA_2_aug_03.npz,GA,KA,0.7839,0.1712,KA,GA
T_SHA_2_aug_02.npz,T_SHA,RA,0.7801,0.1484,RA,T_SHA
D_SHA_7_aug_15.npz,D_SHA,DA,0.779,0.0421,DA,D_SHA
WA_26_aug_04.npz,WA,YA,0.7746,0.2249,YA,WA
GA_4_aug_09.npz,GA,KHA,0.7671,0.1511,KHA,GA
DAA_28_aug_20.npz,DAA,GA,0.7643,0.2007,GA,DAA
WA_27_aug_04.npz,WA,YA,0.7629,0.2341,YA,WA
THA_12_aug_06.npz,THA,TA,0.7599,0.2257,TA,THA
GHA_15_aug_12.npz,GHA,DHAA,0.7595,0.201,DHAA,GHA
M_SHA_6_aug_02.npz,M_SHA,NAA,0.747,0.1386,NAA,M_SHA
DHA_15_aug_17.npz,DHA,NAA,0.7465,0.2454,NAA,DHA
GYA_8_aug_08.npz,GYA,TRA,0.7457,0.2306,TRA,GYA
BA_22_aug_11.npz,BA,CHHA,0.7389,0.261,CHHA,BA
DHAA_13_aug_02.npz,DHAA,HA,0.7354,0.0448,HA,DHAA
BA_8_aug_14.npz,BA,MA,0.7318,0.2637,MA,BA
DAA_4_aug_10.npz,DAA,GA,0.7274,0.1677,GA,DAA
TRA_4_aug_15.npz,TRA,KHA,0.726,0.2406,KHA,TRA
NAA_8_aug_03.npz,NAA,NA,0.7243,0.2678,NA,NAA
GA_19_aug_02.npz,GA,YAN,0.7241,0.0917,YAN,GA
NA_9_aug_07.npz,NA,THAA,0.7239,0.1101,THAA,NA
BHA_20_aug_19.npz,BHA,MA,0.7206,0.2465,MA,BHA
NAA_6_aug_05.npz,NAA,GHA,0.7206,0.0458,GHA,NAA
