class,n_true,n_predicted,n_fp,n_fn,fp_rate,fn_rate,precision,recall
BA,84,81,6,9,0.0741,0.1071,0.9259,0.8929
BHA,84,77,1,8,0.013,0.0952,0.987,0.9048
CHA,84,82,2,4,0.0244,0.0476,0.9756,0.9524
CHHA,84,89,5,0,0.0562,0.0,0.9438,1.0
DA,84,85,2,1,0.0235,0.0119,0.9765,0.9881
DAA,84,80,1,5,0.0125,0.0595,0.9875,0.9405
DHA,84,84,6,6,0.0714,0.0714,0.9286,0.9286
DHAA,84,74,22,32,0.2973,0.381,0.7027,0.619
D_SHA,78,74,0,4,0.0,0.0513,1.0,0.9487
GA,81,82,8,7,0.0976,0.0864,0.9024,0.9136
GHA,84,86,24,22,0.2791,0.2619,0.7209,0.7381
GYA,84,79,1,6,0.0127,0.0714,0.9873,0.9286
HA,84,96,12,0,0.125,0.0,0.875,1.0
JA,84,86,3,1,0.0349,0.0119,0.9651,0.9881
JHA,84,86,4,2,0.0465,0.0238,0.9535,0.9762
KA,81,88,8,1,0.0909,0.0123,0.9091,0.9877
KHA,84,76,4,12,0.0526,0.1429,0.9474,0.8571
KSHA,78,78,4,4,0.0513,0.0513,0.9487,0.9487
LA,81,82,2,1,0.0244,0.0123,0.9756,0.9877
MA,84,89,10,5,0.1124,0.0595,0.8876,0.9405
M_SHA,84,87,5,2,0.0575,0.0238,0.9425,0.9762
NA,81,81,4,4,0.0494,0.0494,0.9506,0.9506
NAA,84,80,7,11,0.0875,0.131,0.9125,0.869
NGA,84,89,6,1,0.0674,0.0119,0.9326,0.9881
PA,81,82,1,0,0.0122,0.0,0.9878,1.0
PHA,84,86,2,0,0.0233,0.0,0.9767,1.0
RA,84,90,6,0,0.0667,0.0,0.9333,1.0
TA,84,89,6,1,0.0674,0.0119,0.9326,0.9881
TAA,84,83,2,3,0.0241,0.0357,0.9759,0.9643
THA,84,81,1,4,0.0123,0.0476,0.9877,0.9524
THAA,84,81,1,4,0.0123,0.0476,0.9877,0.9524
TRA,84,84,3,3,0.0357,0.0357,0.9643,0.9643
T_SHA,84,76,2,10,0.0263,0.119,0.9737,0.881
WA,84,78,0,6,0.0,0.0714,1.0,0.9286
YA,81,88,8,1,0.0909,0.0123,0.9091,0.9877
YAN,84,85,4,3,0.0471,0.0357,0.9529,0.9643
