filename,true_label,predicted_label,correct,confidence,prob_BA,prob_BHA,prob_CHA,prob_CHHA,prob_DA,prob_DAA,prob_DHA,prob_DHAA,prob_D_SHA,prob_GA,prob_GHA,prob_GYA,prob_HA,prob_JA,prob_JHA,prob_KA,prob_KHA,prob_KSHA,prob_LA,prob_MA,prob_M_SHA,prob_NA,prob_NAA,prob_NGA,prob_PA,prob_PHA,prob_RA,prob_TA,prob_TAA,prob_THA,prob_THAA,prob_TRA,prob_T_SHA,prob_WA,prob_YA,prob_YAN
KHA_7_aug_11.npz,KHA,YAN,False,0.95596814,9.107271e-09,9.244204e-08,1.8488947e-05,1.4455327e-09,0.023599006,1.9454554e-07,3.5421215e-07,5.418924e-06,9.516173e-05,5.7522666e-05,3.2447208e-06,0.00023464444,5.71926e-07,0.00022308234,0.003854966,8.625158e-07,0.015040881,1.8128761e-05,3.9103245e-08,4.1455554e-08,0.00020955747,4.2016305e-07,3.3834087e-05,1.4727802e-07,1.2727549e-12,1.684932e-10,1.38646e-07,3.212451e-11,1.25375006e-11,1.9657084e-13,3.159656e-11,0.00063282443,5.688851e-07,6.98059e-09,1.6324617e-06,0.95596814
WA_26_aug_15.npz,WA,YA,False,0.944589,0.00019719506,8.223304e-06,1.8855545e-07,5.7696366e-07,4.7942073e-09,4.2216093e-06,1.280403e-11,8.942213e-13,4.6028694e-05,1.0272319e-09,4.687275e-14,4.192081e-06,1.204165e-12,4.3678985e-09,1.605765e-05,2.0371463e-10,4.4774886e-09,0.00014019677,3.6454512e-10,0.00032981878,1.1594637e-09,7.606332e-09,4.855799e-10,2.0824581e-07,6.023847e-08,6.238413e-12,7.749033e-09,1.4951946e-06,1.6687013e-09,2.0469664e-09,8.255059e-11,0.0003892257,1.7618067e-06,0.054271474,0.944589,6.24227e-08
LA_15_aug_13.npz,LA,HA,False,0.9124187,1.4182276e-05,4.3494337e-09,1.3744766e-07,0.0400181,8.8844835e-08,3.0896701e-06,2.410015e-10,0.005452303,2.0141742e-07,4.1317787e-08,0.0061134626,3.0733273e-14,0.9124187,0.00049547036,1.4584744e-08,4.225705e-08,4.557409e-10,4.814729e-07,0.035476606,7.753867e-09,3.784996e-11,5.7720985e-08,9.678349e-11,5.9559687e-13,4.7579715e-06,2.5149651e-09,2.6891214e-09,1.0455219e-09,3.6346979e-09,3.9325616e-07,7.546512e-07,2.0682294e-09,1.0090032e-06,1.4085065e-09,9.431708e-11,7.0525835e-10
NA_18_aug_12.npz,NA,NAA,False,0.9089333,1.926966e-06,6.204284e-10,6.7388367e-10,7.874699e-06,2.162394e-05,3.4101802e-07,0.04642349,1.721167e-05,1.0760111e-09,7.3515494e-08,6.081693e-05,2.321228e-06,2.6455812e-08,7.908479e-07,2.9586116e-07,1.2394938e-07,2.8363734e-06,3.4934864e-08,5.5028217e-12,8.140234e-08,6.6418065e-06,0.044456985,0.9089333,1.1900956e-05,4.515631e-09,3.5276419e-06,4.2696625e-05,1.3259058e-10,3.9736264e-07,3.0004577e-07,4.8370174e-07,9.192439e-09,5.5163554e-09,4.3942903e-09,5.478249e-10,3.885361e-06
GHA_4_aug_10.npz,GHA,HA,False,0.9076041,5.1741336e-09,4.870841e-08,4.026162e-09,5.441616e-06,1.9466884e-06,9.465968e-06,2.647199e-09,0.024449484,6.635133e-09,5.809089e-06,0.0670814,2.2195794e-14,0.9076041,3.4366105e-05,9.487428e-07,1.7350768e-06,2.329604e-07,9.714621e-07,0.0007634647,5.933189e-10,2.1803566e-09,8.406289e-06,7.601518e-09,3.312359e-14,1.0041651e-06,1.8274541e-08,1.5170817e-06,2.2162916e-11,1.8644706e-09,9.3899025e-08,1.6597964e-05,8.666663e-09,1.28242355e-05,2.0342733e-10,6.58232e-12,8.8158664e-08
CHA_18_aug_15.npz,CHA,LA,False,0.8973833,3.028772e-06,2.7834385e-05,0.092872694,1.1675955e-06,3.3564349e-10,1.0432186e-08,1.8620723e-06,0.008650613,7.664909e-06,1.1400042e-10,0.00030093035,8.022627e-08,0.00070427643,1.103379e-08,5.2553194e-08,1.4368531e-08,4.7556906e-11,5.1248634e-08,0.8973833,5.698598e-06,1.3774367e-09,6.9526057e-10,8.582788e-09,7.300326e-06,9.0225814e-07,1.2672835e-08,1.7584592e-08,2.1061392e-07,2.006714e-05,6.9919224e-08,7.669957e-09,2.8318745e-09,1.2039452e-05,4.9234283e-09,1.5365993e-07,1.5575562e-10
YAN_18_aug_15.npz,YAN,JA,False,0.88596994,9.3652986e-08,3.721785e-12,1.2256438e-05,5.073031e-05,0.00018828276,5.9109784e-09,2.8117956e-06,0.000110198496,0.00019943107,8.8717456e-07,0.00016246397,4.9691794e-06,0.00023206798,0.88596994,2.6235828e-06,1.3127813e-05,1.9959705e-05,1.929425e-06,4.409592e-06,1.6850295e-10,0.0004779483,2.919759e-08,4.4117012e-05,2.1172742e-07,1.3172005e-09,3.9638235e-06,1.8212277e-11,7.800873e-12,1.5103333e-09,7.1431625e-13,4.5568292e-11,1.9567315e-06,6.1854044e-10,4.4201358e-11,8.5661895e-09,0.11249559
KSHA_8_aug_11.npz,KSHA,TRA,False,0.878558,1.586945e-05,2.7371144e-07,2.0538943e-07,2.4705364e-06,4.0008574e-05,0.011809791,2.947898e-11,3.19157e-10,0.00019237935,0.0024709527,5.866096e-11,0.0001229422,1.1637551e-09,3.2277014e-06,0.00082961336,1.5239938e-06,0.012114662,0.072637714,1.3189789e-09,5.2728456e-06,2.0451466e-06,8.0660527e-07,3.277933e-08,9.2844516e-08,1.9360048e-08,1.176782e-12,8.541691e-09,1.9083353e-05,1.2259409e-10,4.3838058e-09,2.2371644e-08,0.878558,6.2365e-07,0.0046134796,0.010239519,0.006319476
BHA_15_aug_03.npz,BHA,MA,False,0.8730136,0.0266625,0.09921529,6.219912e-08,1.5841721e-06,1.5672605e-06,1.4742749e-06,1.1315187e-08,1.6719955e-08,4.2302858e-07,6.9016835e-08,1.5657403e-09,3.0308962e-09,1.8701931e-09,1.3914639e-10,2.1274085e-08,3.372279e-07,1.3076743e-08,3.261216e-06,1.9793323e-07,0.8730136,1.4488888e-08,3.013449e-08,6.114471e-08,1.1007664e-09,2.4915098e-05,3.4929496e-08,0.00035688397,1.1666728e-09,1.6283819e-06,9.362507e-10,1.6681151e-05,4.7559343e-09,2.4915776e-06,3.2123754e-07,0.0006965148,7.423597e-09
CHA_8_aug_01.npz,CHA,NGA,False,0.87204534,2.7831283e-07,2.4160482e-07,0.08413218,3.8487887e-08,5.722285e-09,2.0759596e-09,0.03952633,0.00072701805,2.0791765e-06,4.5743426e-12,2.8073222e-05,0.002507245,6.234071e-08,4.338017e-09,3.0309423e-06,4.121558e-10,2.356267e-10,2.159513e-09,6.5962864e-05,6.436672e-07,3.886966e-08,3.2573132e-06,0.0005015293,0.87204534,1.1334366e-09,3.037809e-08,6.846644e-08,4.3591346e-05,0.0004058912,3.0274584e-06,8.6335716e-11,2.5778945e-08,3.5389207e-06,2.0459787e-07,3.9416142e-07,7.4068074e-10
