class,auc
PHA,1.0
DA,0.9999918180330551
PA,0.9999872856034888
CHHA,0.9999836360661103
D_SHA,0.9999736203439907
RA,0.9999672721322206
WA,0.9999549991818033
TA,0.9999509081983309
THA,0.9999509081983309
THAA,0.9999468172148585
KA,0.9999364280174441
JA,0.9999345442644412
JHA,0.9999304532809687
GYA,0.9999059073801342
TAA,0.9999018163966618
NGA,0.999885452462772
M_SHA,0.9998813614792996
DAA,0.9998772704958272
HA,0.9998363606611029
LA,0.9998262365810141
BHA,0.9998159057437408
NA,0.9998092840523324
T_SHA,0.9997709049255441
KSHA,0.9997493932679118
CHA,0.9997422680412371
TRA,0.9997340860742923
YAN,0.9995540828015055
YA,0.9993134225883968
MA,0.9992840778923253
DHA,0.9992799869088529
GA,0.9991227066407293
BA,0.9990549828178694
NAA,0.9986213385697922
KHA,0.9985640648011782
GHA,0.9941662575683194
DHAA,0.9918793978072328
