class,average_precision
CHHA,0.9989970289334178
JHA,0.9978735923380784
GYA,0.9966687136968491
GHA,0.9964520313554546
JA,0.9957061249551363
TA,0.9956603353513561
PHA,0.995482343491374
T_SHA,0.9947796801147405
DHA,0.9941041398679433
WA,0.9939166774195368
LA,0.9934070403211663
M_SHA,0.9933963666052503
DA,0.9926036901702027
PA,0.9917778661319736
CHA,0.9902025982670217
YAN,0.9895248365240155
KA,0.9871675574222487
YA,0.9863187325424346
THA,0.9860839411271639
D_SHA,0.9857694688508731
NA,0.9857605884644892
NGA,0.9851256849709343
DAA,0.9819763548807433
DHAA,0.9811877577182505
HA,0.979203058198552
KHA,0.9790091605755191
KSHA,0.9786671419275741
THAA,0.9649433324230481
GA,0.9616707447115654
NAA,0.9572461556304048
BHA,0.9561327602867269
TRA,0.9546324561531683
RA,0.9474807876001528
MA,0.9296669176318507
TAA,0.9291214803418484
BA,0.8647019878177803
