class,ap
GHA,0.9833727783973959
THA,0.9410086378558827
TRA,0.9232223549403854
WA,0.9100438542731697
YAN,0.9063613926426776
PA,0.9043896858143912
TA,0.9018791464107703
THAA,0.8955136802697605
GYA,0.8789373051121978
KSHA,0.8768579242339382
TAA,0.8455409180444139
GA,0.81744553597642
DHA,0.8163292560944455
NGA,0.806776185920008
HA,0.7888175873459115
KA,0.7879287256756787
JHA,0.7497773018511341
DAA,0.7486478650247638
CHA,0.7465019984661934
DHAA,0.7415233105003337
KHA,0.728965932931145
JA,0.7289137446316571
NAA,0.7281930948711928
NA,0.7268245197731653
YA,0.722464835977532
LA,0.7200677646532752
DA,0.7124530677731501
PHA,0.7014649784494538
T_SHA,0.6864671255007715
RA,0.6772777336310412
M_SHA,0.6576903533621625
BHA,0.4979896951129694
CHHA,0.4940450661127822
D_SHA,0.39670662286578384
BA,0.39069701804432755
MA,0.3770891771470545
