,BA,BHA,CHA,CHHA,DA,DAA,DHA,DHAA,D_SHA,GA,GHA,GYA,HA,JA,JHA,KA,KHA,KSHA,LA,MA,M_SHA,NA,NAA,NGA,PA,PHA,RA,TA,TAA,THA,THAA,TRA,T_SHA,WA,YA,YAN
BA,45,9,0,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
BHA,21,30,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
CHA,0,0,47,0,0,0,9,9,0,0,9,0,2,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
CHHA,31,1,0,24,9,0,0,0,3,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
DA,1,2,0,2,56,0,0,0,2,0,0,0,0,5,4,0,1,0,0,3,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,2
DAA,0,0,0,1,1,53,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,5,0,7,0,0,2,6,0
DHA,0,0,7,0,0,0,49,3,0,1,1,0,1,0,0,0,0,0,0,0,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1
DHAA,0,0,3,0,0,0,0,60,0,0,6,0,1,0,0,0,0,0,0,0,1,0,9,0,0,1,0,3,0,0,0,0,0,0,0,0
D_SHA,17,4,0,11,8,0,0,0,17,0,0,0,0,0,1,0,1,0,0,14,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0
GA,0,0,1,0,1,1,0,0,0,61,0,0,0,0,0,4,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,7
GHA,0,0,1,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GYA,0,0,0,0,0,0,1,2,0,0,0,66,7,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
HA,0,0,0,0,0,0,0,11,0,0,7,0,59,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0
JA,0,0,0,0,5,0,1,2,0,4,0,0,4,47,7,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1
JHA,1,1,0,3,15,0,0,0,4,0,1,0,0,0,49,0,5,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0
KA,0,0,0,0,1,5,0,0,0,8,0,0,0,0,0,51,7,0,0,0,0,1,2,0,1,0,0,1,4,0,0,0,0,0,0,0
KHA,0,0,0,0,2,0,0,0,0,9,0,1,0,0,1,8,58,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
KSHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,1,0,0,0,0,0,5,1,2,0,13,0,4,0,4
LA,0,0,1,0,0,0,2,14,0,0,0,0,16,2,2,0,0,0,41,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
MA,16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,43,0,2,0,0,0,0,3,0,0,0,0,0,13,0,5,0
M_SHA,0,0,0,0,0,0,1,4,0,0,1,1,8,3,0,0,0,0,1,0,36,0,0,11,4,14,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,45,2,0,0,0,3,0,8,0,0,0,1,3,14,0
NAA,0,0,0,0,0,0,5,4,0,0,21,0,1,0,0,0,0,0,0,0,0,0,47,0,0,6,0,0,0,0,0,0,0,0,0,0
NGA,0,0,5,0,0,0,2,4,0,0,0,7,6,0,0,1,0,0,2,0,0,0,0,54,0,3,0,0,0,0,0,0,0,0,0,0
PA,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,69,0,1,1,0,3,0,0,0,3,0,0
PHA,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,2,0,59,0,0,0,0,0,0,0,0,0,0
RA,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,31,0,0,0,0,0,13,1,18,0
TA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,73,3,1,1,0,0,0,0,2
TAA,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,69,0,4,0,0,0,0,0
THA,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,76,0,0,0,1,0,0
THAA,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,6,1,65,0,0,0,1,0
TRA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,2,0,76,0,0,0,0
T_SHA,4,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,56,2,0,0
WA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,68,7,0
YA,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,5,64,0
YAN,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,2,0,66
