filename,true_class,predicted_class,pred_confidence,true_class_score,fp_for_class,fn_for_class
CHA_4_aug_09.npz,GHA,CHA,0.8344,0.8344,CHA,GHA
DHAA_5_aug_13.npz,NAA,DHAA,0.764,0.764,DHAA,NAA
THA_17_aug_03.npz,TA,THA,0.757,0.757,THA,TA
NAA_25_aug_10.npz,GHA,NAA,0.7485,0.7485,NAA,GHA
DHAA_13_aug_12.npz,TA,DHAA,0.7357,0.7357,DHAA,TA
PHA_11_aug_10.npz,CHA,PHA,0.7223,0.7223,PHA,CHA
DHAA_5_aug_19.npz,NAA,DHAA,0.715,0.715,DHAA,NAA
KSHA_8_aug_15.npz,TRA,KSHA,0.7009,0.7009,KSHA,TRA
KSHA_3_aug_18.npz,YAN,KSHA,0.693,0.693,KSHA,YAN
NAA_25_aug_20.npz,GHA,NAA,0.687,0.687,NAA,GHA
KSHA_8_aug_04.npz,TRA,KSHA,0.6864,0.6864,KSHA,TRA
KSHA_8_aug_06.npz,TRA,KSHA,0.6712,0.6712,KSHA,TRA
T_SHA_27_aug_19.npz,WA,T_SHA,0.671,0.671,T_SHA,WA
CHA_28_aug_12.npz,GHA,CHA,0.6704,0.6704,CHA,GHA
PHA_11_aug_05.npz,CHA,PHA,0.6657,0.6657,PHA,CHA
TAA_26_aug_03.npz,PHA,TAA,0.6546,0.6546,TAA,PHA
KHA_10_aug_19.npz,GA,KHA,0.654,0.654,KHA,GA
KHA_10_aug_04.npz,GA,KHA,0.6526,0.6526,KHA,GA
KSHA_8_aug_11.npz,TRA,KSHA,0.6473,0.6473,KSHA,TRA
CHA_28_aug_07.npz,GHA,CHA,0.6469,0.6469,CHA,GHA
NAA_25_aug_19.npz,GHA,NAA,0.6466,0.6466,NAA,GHA
KHA_10_aug_14.npz,GA,KHA,0.6447,0.6447,KHA,GA
KHA_10_aug_16.npz,GA,KHA,0.6304,0.6304,KHA,GA
DHAA_5_aug_03.npz,NAA,DHAA,0.6254,0.6254,DHAA,NAA
M_SHA_18_aug_16.npz,PA,M_SHA,0.6158,0.6158,M_SHA,PA
CHA_4_aug_18.npz,GHA,CHA,0.6151,0.6151,CHA,GHA
CHA_28_aug_18.npz,GHA,CHA,0.6106,0.6106,CHA,GHA
DHA_25_aug_02.npz,CHA,DHA,0.6092,0.6092,DHA,CHA
M_SHA_18_aug_02.npz,PA,M_SHA,0.6041,0.6041,M_SHA,PA
DHAA_5_aug_14.npz,NAA,DHAA,0.6028,0.6028,DHAA,NAA
DHA_25_aug_16.npz,CHA,DHA,0.6011,0.6011,DHA,CHA
NAA_22_aug_16.npz,GHA,NAA,0.5922,0.5922,NAA,GHA
CHA_26_aug_07.npz,GHA,CHA,0.592,0.592,CHA,GHA
DHAA_13_aug_16.npz,TA,DHAA,0.5887,0.5887,DHAA,TA
WA_27_aug_04.npz,THA,WA,0.5771,0.5771,WA,THA
DHA_25_aug_05.npz,CHA,DHA,0.5766,0.5766,DHA,CHA
CHA_9_aug_08.npz,DHAA,CHA,0.5763,0.5763,CHA,DHAA
T_SHA_27_aug_18.npz,WA,T_SHA,0.5728,0.5728,T_SHA,WA
KSHA_8_aug_08.npz,TRA,KSHA,0.5701,0.5701,KSHA,TRA
NAA_25_aug_03.npz,GHA,NAA,0.5679,0.5679,NAA,GHA
THAA_24_aug_07.npz,TAA,THAA,0.5667,0.5667,THAA,TAA
NAA_22_aug_03.npz,GHA,NAA,0.5646,0.5646,NAA,GHA
YA_26_aug_20.npz,WA,YA,0.5613,0.5613,YA,WA
THAA_24_aug_08.npz,TAA,THAA,0.5612,0.5612,THAA,TAA
HA_26_aug_14.npz,GHA,HA,0.5593,0.5593,HA,GHA
NAA_22_aug_08.npz,GHA,NAA,0.5593,0.5593,NAA,GHA
GA_23_aug_19.npz,YAN,GA,0.557,0.557,GA,YAN
GA_4_aug_12.npz,YAN,GA,0.5554,0.5554,GA,YAN
NAA_14_aug_15.npz,GHA,NAA,0.5544,0.5544,NAA,GHA
TAA_13_aug_04.npz,THAA,TAA,0.5505,0.5505,TAA,THAA
