class,n_true,n_predicted,n_fp,n_fn,fp_rate,fn_rate,precision,recall
BA,137,84,39,92,0.4643,0.6715,0.5357,0.3285
BHA,65,84,54,35,0.6429,0.5385,0.3571,0.4615
CHA,82,84,37,35,0.4405,0.4268,0.5595,0.5732
CHHA,51,84,60,27,0.7143,0.5294,0.2857,0.4706
DA,100,84,28,44,0.3333,0.44,0.6667,0.56
DAA,72,84,31,19,0.369,0.2639,0.631,0.7361
DHA,72,84,35,23,0.4167,0.3194,0.5833,0.6806
DHAA,113,84,24,53,0.2857,0.469,0.7143,0.531
D_SHA,31,78,61,14,0.7821,0.4516,0.2179,0.5484
GA,94,81,20,33,0.2469,0.3511,0.7531,0.6489
GHA,129,84,1,46,0.0119,0.3566,0.9881,0.6434
GYA,76,84,18,10,0.2143,0.1316,0.7857,0.8684
HA,108,84,25,49,0.2976,0.4537,0.7024,0.5463
JA,63,84,37,16,0.4405,0.254,0.5595,0.746
JHA,71,84,35,22,0.4167,0.3099,0.5833,0.6901
KA,66,81,30,15,0.3704,0.2273,0.6296,0.7727
KHA,84,84,26,26,0.3095,0.3095,0.6905,0.6905
KSHA,54,78,30,6,0.3846,0.1111,0.6154,0.8889
LA,54,81,40,13,0.4938,0.2407,0.5062,0.7593
MA,133,84,41,90,0.4881,0.6767,0.5119,0.3233
M_SHA,42,84,48,6,0.5714,0.1429,0.4286,0.8571
NA,67,81,36,22,0.4444,0.3284,0.5556,0.6716
NAA,92,84,37,45,0.4405,0.4891,0.5595,0.5109
NGA,77,84,30,23,0.3571,0.2987,0.6429,0.7013
PA,77,81,12,8,0.1481,0.1039,0.8519,0.8961
PHA,91,84,25,32,0.2976,0.3516,0.7024,0.6484
RA,43,84,53,12,0.631,0.2791,0.369,0.7209
TA,94,84,11,21,0.131,0.2234,0.869,0.7766
TAA,100,84,15,31,0.1786,0.31,0.8214,0.69
THA,91,84,8,15,0.0952,0.1648,0.9048,0.8352
THAA,77,84,19,12,0.2262,0.1558,0.7738,0.8442
TRA,89,84,8,13,0.0952,0.1461,0.9048,0.8539
T_SHA,106,84,28,50,0.3333,0.4717,0.6667,0.5283
WA,91,84,16,23,0.1905,0.2527,0.8095,0.7473
YA,115,81,17,51,0.2099,0.4435,0.7901,0.5565
YAN,87,84,18,21,0.2143,0.2414,0.7857,0.7586
